SPECIES,TRIBE,GENUS,MASS,BEAK_cmsl,WING_hwi,WING_twai,WING_load,BRAIN_ml,BRAIN_Yres
OCPA,Androglossini,Pyrilia,140,3.194,34.19704133,0.0538545,25.49333853,4.08,-0.181446862
CWPA,Arinae,Brotogeris,67,2.88,37.71929825,0.0252945,25.97582676,2.2501,-0.286308769
WEPA,Arini,Psittacara,157,4.36,41.74242424,0.05629527,27.34943895,5.32,0.700452245
DHPA,Arini,Aratinga,108,3.54,44.20289855,0.032898,32.19399964,4.01,0.460181928
BHPA,Androglossini,Pionus,247,3.995,34.05405405,0.06695967,36.17464886,5.78,-0.575610548
SCMA,Arini,Ara,1015,10.7865,41.11727494,0.273882,36.34320529,19.14,1.949450807
WBPA,Arini,Pionites,155,4.04,31.67883212,0.0384696,39.51251768,5.11,0.531963329
GRMA,Arini,Ara,400,5.522,44.27480916,0.09153,42.85654977,8.845,-0.079053627
RGMA,Arini,Ara,1250,12.609,39.69072165,0.272376,45.00511242,22.17,2.264730628
BYMA,Arini,Ara,1125,10.16,40.55555556,0.2442,45.1780559,17.9,-0.582123826
YCPA,Androglossini,Amazona,510,5.91,28.63636364,0.10323,48.44901192,9.33,-1.258831854
MEPA,Androglossini,Amazona,610,6.01,28.54680864,0.121125,49.38746336,10.21,-1.801459944